,facility_name,facility_gps_lat,facility_gps_lon,region_province,district,chiefdom,facility_location,facility_type_other,managing_authority_other,outpatient_only,capacity.number_consultation_rooms,capacity.number_inpatient_beds,capacity.number_maternity_beds,cho_number_in_post,cho_number_present_at_visit,cht_number_in_post,cht_number_present_at_visit,cha_number_in_post,cha_number_present_at_visit,cm_number_in_post,cm_number_present_at_visit,sechn_number_in_post,sechn_number_present_at_visit,lab_tech_number_in_post,lab_tech_number_present_at_visit,mch_aides_number_in_post,mch_aides_number_present_at_visit,cleaner_porter_number_in_post,cleaner_porter_number_present_at_visit,other_number_in_post,other_number_present_at_visit,other_staff_cadre,sections_to_review,consultations.head_count.month_1,consultations.head_count.month_2,consultations.head_count.month_3,consultations.head_count.month_4,consultations.general_outpatient.month_1,consultations.general_outpatient.month_2,consultations.general_outpatient.month_3,consultations.general_outpatient.month_4,consultations.deliveries.month_1,consultations.deliveries.month_2,consultations.deliveries.month_3,consultations.deliveries.month_4,consultations.pent_vaccines.month_1,consultations.pent_vaccines.month_2,consultations.pent_vaccines.month_3,consultations.pent_vaccines.month_4,hr_focal_point,hr_staff_received_info,hr_healthcare_provider_training,hr_healthcare_provider_revised_training,hr_daily_staff_list,iec_handwashing_procedure,iec_physical_distancing,iec_covering_nose_mouth,iec_early_symptom_recognition,iec_when_facility_vs_home,iec_rational_ppe_use,iec_helpline_number,surv_procedure_for_notification,surv_official_case_definition,surv_hotline_number,surv_timely_data_reported_to_district,ter_screening_area_set_up,ter_symptom_screening_questionnaires,ter_temperature_measurement_at_triage,ter_physical_distancing_in_waiting,ter_separate_waiting_for_symptomatic,chw_trained_precautions,chw_trained_community_service,chw_drugs,chw_gloves,chw_masks,chw_iec_materials,iso_designated_isolation_for_suspected,iso_distance_between_patients_in_waiting,iso_distance_between_patient_beds,iso_transfer_referral_protocol,ipc_ppe_medical_masks,ipc_ppe_disp_surgical_masks,ipc_ppe_eye_protection,ipc_ppe_examination_gloves,ipc_ppe_surgical_gloves,ipc_ppe_long_cuffed_gloves,ipc_ppe_heavy_duty_gloves,ipc_ppe_long_sleeved_gown,ipc_ppe_waterproof_aprons,ipc_ppe_plan_staff_trained_on_ppe,ipc_ppe_plan_ppe_poster_displayed,ipc_ppe_plan_fit_test_kit,ipc_ppe_plan_contingency_for_shortages,ipc_wcd_colour_coded_bins,ipc_wcd_clinical_waste_bags,ipc_wcd_laundry_receptacles_at_patient_rooms,ipc_wcd_incinerator,ipc_wash_clean_running_water,ipc_wash_hand_soap,ipc_wash_liquid_soap,ipc_wash_disp_hand_towels,ipc_wash_alcohol_based_hand_gel,ipc_ds_protocol_facility_disinfection,ipc_ds_protocol_equipment_sterilisation,ipc_ds_environmental_disinfectant,ipc_ds_cleaning_schedule_in_toilets,ipc_ds_protocol_corpse_handling,log_referral_plan,log_cellphone_landline_swradio,log_tracer_drugs,log_albendazole,log_amoxicillin,log_ampicillin,log_chlorhexidine_5,log_chlorhexidine_7,log_gentamicin,log_folic,log_ferrous_and_folic,log_compound_sodium,log_co_trimoxazole_400,log_co_trimoxazole_200,log_metronidazole_250,log_metronidazole_200,log_methyldopa,log_magnesium_sulphate,log_lidocaine,log_ibuprofen,log_surgical_spirit,log_sodium_chloride,log_povidone,log_paracetamol_500,log_paracetamol_250,log_ors,log_gauze,log_cotton_wool,log_cannula_iv_20,log_cannula_iv_24,log_zinc_sulphate,log_water,log_needle_23,log_needle_21,log_glove_giving,log_glove_surgical,log_glove_gyn,log_glove_exam,log_tape,log_syringe,log_oxytocin,log_diazepam,log_misoprostol,log_glucose,consultations.head_count.monthly_average_head_counts,consultations.general_outpatient.monthly_average_general_outpatient,consultations.deliveries.monthly_average_deliveries,consultations.pent_vaccines.monthly_average_pent_vaccines,score_human_resources,score_max_human_resources,score_information_education_communication,score_max_information_education_communication,score_surveillance,score_max_surveillance,score_triage_and_early_recognition,score_max_triage_and_early_recognition,score_chw,score_max_chw,score_isolation,score_max_isolation,score_infection_prevention_and_control_ppe,score_max_infection_prevention_and_control_ppe,score_infection_prevention_and_control_ppe_plan,score_max_infection_prevention_and_control_ppe_plan,score_infection_prevention_and_control_waste_collection_and_disposal,score_max_infection_prevention_and_control_waste_collection_and_disposal,score_infection_prevention_and_control_water_sanitation_and_hygiene,score_max_infection_prevention_and_control_water_sanitation_and_hygiene,score_infection_prevention_and_control_disinfection_and_sterilization,score_max_infection_prevention_and_control_disinfection_and_sterilization,score_infection_prevention_and_control,score_max_infection_prevention_and_control,question1.score_logistics_patient_and_sample_transfer,question1.score_max_logistics_patient_and_sample_transfer,score_total,score_max_total,type_clinic,type_community_health_centre,type_community_health_post,type_mch_post,type_<NA>,manage_government_public,manage_other,manage_private_for_profit,manage_<NA>,setting_peri_urban,setting_rural,setting_slum,setting_urban,setting_<NA>
31,ANDREW HOSPITAL/CHC,44.582128,-149.870484,NORTH-WESTERN,PORT LOKO,OREGON,VALERIEBOROUGH,,,True,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,288,243,283,141,189,145,145,90,11,7,16,2,12,11,26,0,0,2,1,0,2,True,False,False,False,False,False,False,2,0,2,2,0,0,1,2,0,1,1,1,0,0,0,0,2,0,2,1,1,2,2,2,0,0,1,0,1,2,0,2,2,1,1,0,0,1,0,0,0,2,0,1,0,0,2,2,,2,1,0,1,0,1,0,0,0,0,1,0,0,2,2,1,2,0,2,2,2,0,2,1,2,0,0,1,2,1,0,0,0,0,2,1,0,2,2,0,1,238.75,142.25,9.0,12.25,2.5,5.0,1.0,7.0,3.0,4.0,1.5,5.0,1.0,6.0,2.0,4.0,4.5,9.0,2.5,4.0,2.0,4.0,0.5,5.0,1.5,5.0,11.0,27.0,18.5,44.0,40.5,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
32,EMILY CHP,45.736229,102.489587,NORTHERN,KOINADUGU,TENNESSEE,PORT COLLEENFORT,,,True,3,6,5,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,3,3,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,268,218,277,319,163,150,197,175,11,6,13,15,10,13,22,11,0,2,0,0,2,True,True,True,True,True,True,True,2,2,2,2,2,0,2,2,0,1,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,0,0,0,1,0,0,0,0,2,2,0,2,2,2,2,2,0,2,0,2,2,,0,0,,,,0,,2,,,0,0,2,2,2,0,2,0,2,0,0,,,1,1,2,0,0,,2,1,2,2,0,0,270.5,171.25,11.25,14.0,2.0,5.0,7.0,7.0,4.0,4.0,3.0,5.0,4.5,6.0,3.0,4.0,7.0,9.0,4.0,4.0,0.0,4.0,0.5,5.0,3.0,5.0,14.5,27.0,16.0,44.0,54.0,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
33,CARLOS CHP,66.546422,94.201596,NORTHERN,KOINADUGU,GEORGIA,WEST JENNIFER,,,True,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,319,326,244,227,179,157,123,108,8,13,13,14,8,17,6,7,2,2,1,1,2,True,True,True,True,True,True,True,2,0,2,2,2,2,2,2,0,2,2,2,2,1,2,0,2,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,2,0,0,0,1,0,0,0,0,2,2,1,2,2,2,1,2,2,2,0,2,0,,,,2,2,0,0,0,2,2,0,2,2,2,2,2,0,2,0,2,0,0,2,2,0,0,2,2,2,2,0,0,2,2,0,0,279.0,141.75,12.0,9.5,4.0,5.0,7.0,7.0,3.0,4.0,4.0,5.0,4.5,6.0,3.0,4.0,6.0,9.0,4.0,4.0,1.0,4.0,0.5,5.0,3.5,5.0,15.0,27.0,23.5,44.0,64.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
34,TANYA MCHP,62.770247,123.502696,SOUTHERN,PUJEHUN,NEW JERSEY,RICEVILLE,,,True,1,3,1,0,0,0,0,2,1,0,0,1,1,0,0,2,2,1,0,2,0,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,545,858,699,1220,200,216,220,200,30,27,25,27,17,16,17,30,2,2,2,2,2,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,2,0,0,0,2,2,0,1,1,1,2,0,0,0,0,1,0,0,2,2,1,2,2,2,0,,0,0,0,2,2,0,2,0,0,2,0,2,1,2,1,2,0,2,0,2,0,1,2,1,1,1,2,1,1,1,2,2,2,2,0,0,830.5,209.0,27.25,20.0,5.0,5.0,7.0,7.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,9.0,1.0,4.0,2.5,4.0,2.0,5.0,0.5,5.0,10.0,27.0,23.5,44.0,63.5,102.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
35,AMBER TERTIARY HOSPITAL,70.239336,-129.975261,SOUTHERN,PUJEHUN,NEW JERSEY,DONNABURGH,,,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,171,166,139,136,118,103,93,103,13,10,12,14,8,5,8,11,0,2,0,0,0,True,True,True,True,True,False,True,2,0,2,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,2,2,1,0,0,0,1,2,0,2,2,0,2,0,0,1,1,2,0,0,2,2,1,2,2,0,2,,0,2,0,2,2,2,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0,0,2,0,0,0,2,2,0,2,2,2,0,0,0,0,153.0,104.25,12.25,8.0,1.0,5.0,6.0,7.0,3.0,4.0,1.5,5.0,0.5,6.0,0.0,4.0,6.5,9.0,0.5,4.0,2.5,4.0,2.0,5.0,2.0,5.0,13.5,27.0,21.5,44.0,47.0,102.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
36,JEREMIAH CLINIC,-16.739596,-106.519965,NORTH-WESTERN,KARENE,CONNECTICUT,KAISERBERG,,,False,1,4,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,293,129,257,231,175,67,108,89,7,8,14,4,18,15,27,13,0,2,0,0,2,False,True,False,False,False,True,False,0,0,0,2,0,0,0,1,1,0,0,2,2,0,0,1,0,0,2,0,0,0,2,0,0,0,0,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,2,0,0,2,0,0,2,0,0,0,0,2,1,2,2,2,0,2,0,2,0,0,0,2,0,0,2,2,2,0,0,0,2,2,0,0,227.5,109.75,8.25,18.25,2.0,5.0,2.0,7.0,1.0,4.0,1.0,5.0,2.0,6.0,1.5,4.0,2.0,9.0,2.0,4.0,2.0,4.0,1.0,5.0,0.0,5.0,7.0,27.0,17.0,44.0,33.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
37,AMBER CHP,-63.524311,4.30623,NORTH-WESTERN,KARENE,MASSACHUSETTS,PORT CAROLBURGH,,,False,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,481,355,264,223,57,50,40,28,12,11,9,8,6,12,12,12,0,2,2,2,2,True,True,False,True,True,True,False,0,2,2,2,0,0,0,1,0,2,2,2,2,0,0,1,0,0,2,2,2,2,2,2,0,2,2,2,1,2,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,2,0,,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,0,0,0,2,2,0,0,2,2,2,2,0,2,2,2,0,0,330.75,43.75,10.0,10.5,4.0,5.0,5.0,7.0,3.0,4.0,0.5,5.0,3.0,6.0,1.5,4.0,8.0,9.0,1.5,4.0,3.0,4.0,1.0,5.0,0.0,5.0,13.5,27.0,26.0,44.0,56.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
38,ROBERT REGIONAL HOSPITAL,-15.22435,87.25965,WESTERN,WESTERN AREA URBAN,RHODE ISLAND,COLLEENBURGH,,,True,4,6,2,2,1,0,0,2,0,3,1,8,1,3,2,4,0,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,880,1050,911,652,352,544,657,250,40,41,96,28,0,70,52,0,2,1,1,0,0,True,True,True,True,True,False,True,0,1,2,2,1,2,2,2,0,2,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,873.25,450.75,51.25,30.5,2.0,5.0,6.0,7.0,2.5,4.0,3.5,5.0,2.5,6.0,0.0,4.0,0.5,9.0,0.5,4.0,1.5,4.0,2.0,5.0,1.5,5.0,6.0,27.0,9.5,44.0,32.0,102.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
39,TONI CHP,27.4683045,-67.08632,SOUTHERN,MOYAMBA,COLORADO,PORT GENEHAVEN,,,True,1,0,1,2,2,0,0,0,0,1,1,2,2,1,1,3,3,1,1,1,1,the cleaner is assistanting not pay roll or no pin code,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,329,286,128,189,92,115,91,38,11,11,4,10,5,4,16,7,2,2,1,1,1,True,True,True,True,True,True,False,2,2,2,2,2,2,2,2,1,1,0,1,1,0,0,1,2,2,2,0,2,0,2,0,0,0,2,2,1,1,1,2,2,1,2,2,2,0,0,0,2,2,2,0,1,2,2,0,,0,2,2,0,0,0,0,,2,2,0,,0,2,,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,2,0,0,233.0,84.0,9.0,8.0,3.5,5.0,6.0,7.0,4.0,4.0,4.5,5.0,1.0,6.0,3.5,4.0,4.0,9.0,2.5,4.0,3.5,4.0,2.0,5.0,3.0,5.0,15.0,27.0,24.0,44.0,61.5,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
40,AMBER CHP,-51.206867,-4.695275,SOUTHERN,MOYAMBA,ALABAMA,NEW WALTERPORT,,,True,2,5,1,2,2,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,1,"1 security, 2 TBA,  Laboratory Assistant, 1 volunteer cleaner.",consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,492,537,486,524,396,392,291,254,11,7,10,11,12,13,13,15,2,2,2,2,2,True,True,True,True,True,True,True,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,2,2,2,2,2,2,1,2,2,2,0,2,1,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,0,2,509.75,333.25,9.75,13.25,5.0,5.0,7.0,7.0,3.5,4.0,5.0,5.0,3.0,6.0,4.0,4.0,8.5,9.0,4.0,4.0,4.0,4.0,2.5,5.0,4.0,5.0,23.0,27.0,36.0,44.0,86.5,102.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
41,JOSEPH CLINIC,-59.267232,1.735306,SOUTHERN,MOYAMBA,KANSAS,MELISSAPORT,,,True,2,1,1,1,1,1,1,2,0,1,1,1,0,0,0,2,2,2,0,1,0,The two cleaner are volunteers with out pin code.,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,349,382,331,383,194,158,175,183,10,12,11,13,11,10,10,10,2,2,0,0,0,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2,2,1,1,2,2,0,2,2,2,2,2,0,0,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,2,2,2,2,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,2,2,,2,2,2,2,2,2,2,2,361.25,177.5,11.5,10.25,2.0,5.0,7.0,7.0,4.0,4.0,5.0,5.0,3.5,6.0,4.0,4.0,5.5,9.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,5.0,18.5,27.0,38.0,44.0,82.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
42,GLENN CHP,87.632026,-24.908907,NORTH-WESTERN,KARENE,ALASKA,COLLINSTON,,,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,"2 MCH Aids, 2 Porters, 1Community Midwife, 1SECHN,1Community Health Technician",consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,787,821,539,525,84,77,82,55,13,10,17,8,13,6,5,7,0,2,,,,True,True,False,True,True,True,False,2,2,2,2,0,0,0,2,0,1,2,1,0,0,0,1,1,1,2,2,2,2,2,0,0,0,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,1,2,0,2,1,0,0,0,2,2,0,0,0,2,2,0,0,2,2,2,2,0,2,2,2,0,0,2,0,0,0,2,0,2,2,0,0,2,2,0,0,668.0,74.5,12.0,7.75,1.0,5.0,5.0,7.0,4.0,4.0,1.0,5.0,1.5,6.0,2.5,4.0,5.5,9.0,0.5,4.0,1.0,4.0,0.5,5.0,0.0,5.0,7.5,27.0,20.5,44.0,43.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
43,ADAM MCHP,35.2325595,96.171181,EASTERN,KONO,CALIFORNIA,NORTH MARIA,,,True,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,156,102,122,103,122,101,102,145,5,6,4,6,8,7,6,4,0,2,1,1,1,False,False,False,False,False,True,True,2,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,,0,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,2,1,1,1,1,1,0,0,2,2,0,0,0,1,1,0,0,0,1,2,0,1,2,2,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,120.75,117.5,5.25,6.25,2.5,5.0,2.0,7.0,4.0,4.0,0.0,5.0,2.5,6.0,2.0,4.0,1.5,9.0,1.0,4.0,0.0,4.0,2.0,5.0,0.5,5.0,5.0,27.0,14.0,44.0,32.0,102.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
44,THOMAS HOSPITAL,81.5534995,-10.155364,NORTH-WESTERN,KAMBIA,OREGON,JOHNSONFURT,,,True,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,540,468,0,338,380,271,0,186,8,11,15,15,19,18,18,11,0,2,0,0,2,True,True,True,True,True,True,True,2,0,2,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,1,1,2,1,1,1,1,1,2,1,0,0,2,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,,0,2,0,0,0,0,0,0,2,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,336.5,209.25,12.25,16.5,2.0,5.0,7.0,7.0,3.0,4.0,1.0,5.0,1.5,6.0,0.0,4.0,5.5,9.0,1.5,4.0,1.0,4.0,1.5,5.0,0.5,5.0,10.0,27.0,21.0,44.0,45.5,102.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
45,EDWARD TERTIARY HOSPITAL,-35.8539715,-58.756,WESTERN AREA,WESTERN AREA RURAL,MISSISSIPPI,MITCHELLPORT,,,True,2,0,3,2,0,0,0,1,1,2,2,10,2,2,1,2,1,1,1,3,0,"HIV Councillors (2), TB focal (1)",consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,818,865,889,680,316,281,217,167,15,20,23,13,30,29,31,13,2,1,0,0,2,True,True,True,True,True,True,False,0,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,0,0,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,0,2,0,0,2,0,0,0,2,0,0,813.0,245.25,17.75,25.75,2.5,5.0,6.0,7.0,2.0,4.0,3.0,5.0,0.0,6.0,0.0,4.0,3.0,9.0,1.0,4.0,1.0,4.0,1.0,5.0,0.0,5.0,6.0,27.0,25.0,44.0,44.5,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
46,DAVID CHP,42.12074,-86.197466,EASTERN,KAILAHUN,OREGON,SOUTH AMY,,,True,2,4,1,1,1,0,0,0,0,0,0,1,1,0,0,2,2,3,3,1,1,security,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,422,429,469,443,295,279,312,288,25,24,26,30,20,27,22,20,0,2,1,0,1,True,False,False,False,False,False,False,2,2,2,2,0,0,0,1,0,2,1,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,440.75,293.5,26.25,22.25,2.0,5.0,1.0,7.0,4.0,4.0,0.5,5.0,0.5,6.0,2.0,4.0,3.0,9.0,0.5,4.0,0.5,4.0,0.5,5.0,0.0,5.0,4.5,27.0,7.0,44.0,21.5,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
47,DALTON HOSPITAL,-32.4638985,158.791527,SOUTHERN,BO,IDAHO,CRAIGSIDE,,,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,4,1,CHW,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,288,434,486,414,309,241,325,280,6,12,11,9,14,12,13,12,1,2,0,0,0,True,True,True,True,True,True,True,2,2,2,2,0,0,1,1,0,0,0,1,2,2,2,0,1,1,1,2,2,0,1,1,0,1,1,2,2,2,0,0,0,2,0,2,1,0,1,0,0,0,0,0,2,0,2,2,2,2,2,2,2,0,2,0,0,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,1,2,1,2,2,2,2,2,2,1,1,1,2,0,2,2,0,2,405.5,288.75,9.5,12.75,1.5,5.0,7.0,7.0,4.0,4.0,1.0,5.0,3.5,6.0,1.5,4.0,5.0,9.0,2.0,4.0,2.0,4.0,1.0,5.0,0.0,5.0,10.0,27.0,31.5,44.0,60.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
48,ANDREW CHP,-39.445117,2.015735,EASTERN,KONO,OKLAHOMA,SHEPPARDHAVEN,,,True,2,0,2,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,,consultations,15,13,18,50,20,32,28,25,28,20,18,20,18,17,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,26.25,21.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
49,PAUL TERTIARY HOSPITAL,70.0557055,-160.302066,SOUTHERN,PUJEHUN,MICHIGAN,NORTH RONALDFORT,,,True,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,350,300,290,323,164,211,173,190,12,13,11,11,10,16,12,0,0,2,1,1,2,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2,0,1,1,2,2,2,2,0,1,2,2,2,2,2,2,2,2,0,2,2,2,2,0,0,0,2,0,1,2,2,2,0,0,0,0,2,0,0,2,0,1,2,2,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,1,0,1,0,2,0,2,2,0,0,0,2,0,2,1,1,1,2,2,2,2,0,0,315.75,184.5,11.75,9.5,3.0,5.0,7.0,7.0,4.0,4.0,4.0,5.0,4.5,6.0,2.5,4.0,8.0,9.0,2.0,4.0,1.5,4.0,3.0,5.0,1.0,5.0,15.5,27.0,16.0,44.0,56.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
50,LISA TERTIARY HOSPITAL,7.7367925,41.847715,NOTHERN,BOMBALI,DELAWARE,GIBSONSTAD,,,True,1,2,1,0,0,0,0,0,0,1,1,2,2,0,0,2,2,0,0,6,6,CHW,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,259,432,306,392,168,163,162,174,18,0,15,5,10,11,12,13,2,2,1,2,2,False,True,True,True,True,True,True,2,2,2,2,0,0,2,2,1,1,1,0,0,0,0,1,1,1,2,1,1,1,2,1,2,2,1,1,1,0,0,0,2,2,2,2,2,2,2,0,2,0,2,0,1,0,2,1,,2,2,2,0,,0,1,0,0,2,0,2,0,2,0,1,0,2,2,2,2,0,2,0,2,0,0,2,0,0,2,2,2,2,2,0,2,2,2,0,0,347.25,166.75,9.5,11.5,4.5,5.0,6.0,7.0,4.0,4.0,2.5,5.0,0.5,6.0,2.5,4.0,6.0,9.0,0.5,4.0,4.0,4.0,4.0,5.0,1.0,5.0,15.5,27.0,22.5,44.0,58.0,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
51,JESSE REGIONAL HOSPITAL,89.386035,-145.219018,NORTHERN,FALABA,TENNESSEE,BROOKETON,,,True,3,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,3,0,TBA,consultations hr information_education_communication triage_early_recognition chw,426,455,286,315,236,229,211,218,12,16,6,6,25,28,9,13,0,2,0,0,2,True,False,False,False,False,False,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.5,223.5,10.0,18.75,2.0,5.0,1.0,7.0,,,0.0,5.0,0.0,6.0,,,,,,,,,,,,,,,,,3.0,23.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
